地点：海南,海口市,天气状况：阴,温度：17,摄氏度,风向：东,风力：≤3,湿度：73%
姓名：小冯,证件号：e199,年龄：19,性别：女,视力：5.2,曾感染新冠病毒：是,,
order,IdealDecision,RealDecision,correctness,time,,,
1,I,I,T,33.7936,,,
2,I,I,T,0.4495,,,
3,I,N,F,0.6579,,,
4,Y,Y,T,1.2292,,,
5,N,Y,F,1.4337,,,
6,I,I,T,1.2305,,,
7,I,I,T,0.9673,,,
8,I,N,F,1.5506,,,
9,Y,Y,T,1.2701,,,
10,I,I,T,1.2382,,,
11,I,I,T,0.6079,,,
12,I,I,T,0.8631,,,
13,I,I,T,0.7713,,,
14,I,I,T,0.7055,,,
15,I,I,T,0.5689,,,
16,I,I,T,0.5696,,,
17,I,I,T,0.5461,,,
18,N,I,F,0.9253,,,
19,I,I,T,0.5403,,,
20,I,I,T,1.9545,,,
21,N,N,T,2.0108,,,
22,I,I,T,0.9814,,,
23,I,I,T,1.3258,,,
24,N,N,T,2.4871,,,
25,I,I,T,1.5347,,,
26,I,I,T,1.7201,,,
27,N,N,T,2.4214,,,
28,I,Y,F,1.126,,,
29,I,I,T,1.7793,,,
30,I,I,T,0.5968,,,
31,I,I,T,1.1047,,,
32,I,N,F,1.9136,,,
33,I,I,T,0.9138,,,
34,I,I,T,0.8726,,,
35,I,I,T,0.9041,,,
36,I,I,T,0.9154,,,
37,I,I,T,0.9692,,,
38,N,N,T,1.0336,,,
39,I,I,T,0.9726,,,
40,I,I,T,1.1874,,,
41,I,I,T,1.5815,,,
42,I,I,T,1.6258,,,
43,I,I,T,1.2772,,,
44,I,N,F,4.403,,,
45,I,I,T,1.3785,,,
46,I,I,T,0.6292,,,
47,I,I,T,0.4203,,,
48,I,I,T,0.5694,,,
49,I,I,T,0.5556,,,
50,I,I,T,0.7372,,,
51,I,I,T,0.6894,,,
52,N,N,T,0.8838,,,
53,I,I,T,0.901,,,
54,N,N,T,1.3267,,,
55,I,I,T,1.043,,,
56,I,I,T,0.9727,,,
57,I,I,T,1.1268,,,
58,N,N,T,1.0602,,,
59,I,Y,F,0.5687,,,
60,I,Y,F,0.8747,,,
61,I,I,T,2.6207,,,
62,I,I,T,0.6127,,,
63,I,I,T,0.4664,,,
64,N,N,T,1.4529,,,
65,I,I,T,0.7377,,,
66,I,I,T,1.4016,,,
67,I,I,T,2.8783,,,
68,I,I,T,0.6067,,,
69,I,N,F,1.5342,,,
70,I,I,T,1.0646,,,
71,I,N,F,1.1548,,,
72,I,I,T,1.0323,,,
73,I,I,T,0.7669,,,
74,I,I,T,0.2969,,,
75,I,I,T,0.3708,,,
76,I,I,T,0.7342,,,
77,I,I,T,0.8539,,,
78,I,I,T,0.3548,,,
79,N,N,T,1.213,,,
80,I,I,T,1.0432,,,
81,N,N,T,1.5823,,,
82,I,I,T,1.201,,,
83,I,I,T,0.3669,,,
84,I,N,F,0.6688,,,
85,I,I,T,1.017,,,
86,I,I,T,0.6265,,,
87,I,I,T,0.4721,,,
88,I,I,T,0.3878,,,
89,N,N,T,1.3337,,,
90,I,I,T,0.8431,,,
91,I,I,T,0.8837,,,
92,I,I,T,0.5779,,,
93,N,I,F,0.4506,,,
94,I,I,T,0.7659,,,
95,N,N,T,0.8476,,,
96,I,I,T,0.6894,,,
97,I,I,T,0.2931,,,
98,I,I,T,1.2224,,,
99,I,I,T,0.591,,,
100,I,N,F,1.0946,,,
101,I,I,T,1.9414,,,
102,N,N,T,1.7863,,,
103,I,I,T,0.7426,,,
104,I,I,T,0.9484,,,
105,I,I,T,0.3348,,,
106,N,N,T,1.0122,,,
107,N,Y,F,0.5111,,,
108,I,I,T,0.8604,,,
109,I,I,T,0.4294,,,
110,I,I,T,0.4562,,,
111,N,N,T,1.2143,,,
112,I,I,T,0.8112,,,
113,I,I,T,0.4419,,,
114,N,N,T,0.9554,,,
115,I,I,T,0.7114,,,
116,I,N,F,0.8336,,,
117,I,I,T,0.7692,,,
118,I,I,T,0.3522,,,
119,N,I,F,0.3748,,,
120,I,I,T,2.08,,,
121,I,I,T,2.9239,,,
122,I,I,T,0.8882,,,
123,N,N,T,1.1655,,,
124,I,I,T,0.6243,,,
125,I,I,T,1.2582,,,
126,I,I,T,0.6175,,,
127,I,N,F,1.2887,,,
128,Y,Y,T,1.0228,,,
129,I,Y,F,0.9137,,,
130,I,I,T,0.7032,,,
131,I,I,T,0.3237,,,
132,N,N,T,0.8388,,,
133,I,I,T,0.7669,,,
134,I,N,F,1.0246,,,
135,I,I,T,0.8779,,,
136,I,I,T,0.6068,,,
137,N,N,T,0.9086,,,
138,I,I,T,1.05,,,
139,N,I,F,0.4593,,,
140,I,I,T,2.6921,,,
141,I,I,T,1.7375,,,
142,I,I,T,0.6103,,,
143,I,N,F,1.3048,,,
144,I,I,T,0.7705,,,
145,I,I,T,1.0145,,,
146,I,I,T,0.3429,,,
147,I,I,T,0.4659,,,
148,I,I,T,1.2875,,,
149,I,I,T,0.4002,,,
150,I,I,T,0.5619,,,
151,N,N,T,1.0722,,,
152,I,I,T,0.8893,,,
153,I,I,T,0.4562,,,
154,N,N,T,1.6239,,,
